Field1_links,Field2,Field3,Field4,Field5
https://www.imdb.com/title/tt13317478/?ref_=sr_t_244,Uysallar,8,,
https://www.imdb.com/title/tt7428834/?ref_=sr_t_245,Fatih,6,,
https://www.imdb.com/title/tt0953931/?ref_=sr_t_246,Doktorlar,97,,
https://www.imdb.com/title/tt0992966/?ref_=sr_t_247,7 Numara,92,,
https://www.imdb.com/title/tt15023948/?ref_=sr_t_248,Evlilik Hakkinda Her Sey,33,,
https://www.imdb.com/title/tt14486722/?ref_=sr_t_249,Andropoz,6,6,
https://www.imdb.com/title/tt0299268/?ref_=sr_t_250,Bizimkiler,464,464,
https://www.imdb.com/title/tt11007006/?ref_=sr_t_251,Azize,6,,
https://www.imdb.com/title/tt13587828/?ref_=sr_t_252,Kanunsuz Topraklar,16,,
https://www.imdb.com/title/tt1224142/?ref_=sr_t_253,Beyaz Show,118,118,
https://www.imdb.com/title/tt21095420/?ref_=sr_t_254,Son Gün,8,,
https://www.imdb.com/title/tt3989678/?ref_=sr_t_255,Güllerin Savasi,68,,
https://www.imdb.com/title/tt2575934/?ref_=sr_t_256,Kayip Sehir,25,,
https://www.imdb.com/title/tt13328796/?ref_=sr_t_257,Yavuz,1,,
https://www.imdb.com/title/tt10319992/?ref_=sr_t_258,Canevim,17,,
https://www.imdb.com/title/tt15471776/?ref_=sr_t_259,Benim Hayatim,6,,
https://www.imdb.com/title/tt1173202/?ref_=sr_t_260,Elveda Rumeli,83,,
https://www.imdb.com/title/tt14473896/?ref_=sr_t_261,Barbaroslar: Akdeniz'in Kilici,32,32,
https://www.imdb.com/title/tt2189801/?ref_=sr_t_262,Son,25,25,
https://www.imdb.com/title/tt2051741/?ref_=sr_t_263,Umutsuz Ev Kadinlari,154,154,
https://www.imdb.com/title/tt9915022/?ref_=sr_t_264,Yarali Kuslar,165,,
https://www.imdb.com/title/tt1034368/?ref_=sr_t_265,Kavak Yelleri,170,,
https://www.imdb.com/title/tt15443084/?ref_=sr_t_266,Misafir,5,,
https://www.imdb.com/title/tt11789868/?ref_=sr_t_267,Ögretmen,9,9,
